sintomas,especialidad
Paciente refiere que tos productiva con esputo hace una semana.,Neumología
Me enronché después de tomar la pastilla y además me pica la nariz y los ojos.,Alergología
Fiebre de origen desconocido y siente síndrome febril agudo.,Infectología
Paciente refiere que vértigo posicional hace una semana.,Otorrinolaringología
Siento que fiebre de origen desconocido de inicio súbito.,Infectología
Acude por presentar oliguria que no pasa.,Nefrología
"Dispepsia funcional, también refiere reflujo gastroesofágico.",Gastroenterología
"Todo me da vueltas y me tumba, acompañado de siento hormigueo en medio cuerpo.",Neurología
Desde ayer tengo ya no hago del baño como antes hace una semana.,Oncología
Hay presencia de distensión abdominal de inicio súbito.,Gastroenterología
Me da alopecia areata intermitente.,Dermatología
"Tiene una tos que no se le quita, también refiere le salieron granitos en todo el cuerpo.",Pediatría
Acude por presentar sudoración nocturna que no pasa.,Infectología
Se queja de siento como una pata de elefante en el pecho de inicio súbito.,Cardiología
Ayúdeme con no puedo ni tragar del dolor de garganta de inicio súbito.,Otorrinolaringología
"Diaforesis excesiva, acompañado de polidipsia y poliuria.",Endocrinología
Me da dolor testicular agudo desde esta mañana.,Urología
Presenta hemoptisis y dice que tengo tos de perro con flema.,Neumología
"Tengo tos de perro con flema, sumado a me chilla el pecho al respirar.",Neumología
Tengo se me regresa la comida agria constante.,Gastroenterología
Odontalgia severa y además halitosis.,Odontología
Acude por presentar ya no hago del baño como antes hace una semana.,Oncología
Me da se me están enchuecando los dedos hace una semana.,Reumatología
Insomnio de conciliación y siente ideación suicida.,Psiquiatría
Tengo proteinuria espumosa hace una semana.,Nefrología
Indica tener casi no estoy orinando nada desde esta mañana.,Nefrología
Siento que dismenorrea incapacitante constante.,Ginecología
Manifiesta erupción exantemática que no pasa.,Pediatría
Presenta diplopía y dice que ya no veo bien las letras de lejos.,Oftalmología
Paciente refiere que hipertensión resistente hace una semana.,Nefrología
Paciente refiere que bruxismo constante.,Odontología
Presento me hinca el corazón que no pasa.,Cardiología
Acude por presentar disuria y polaquiuria hace una semana.,Urología
Desde ayer tengo dispepsia funcional constante.,Gastroenterología
Indica tener tengo el cuello tieso por el frenazo que no pasa.,Traumatología
"Disuria y polaquiuria, acompañado de cólico renoureteral.",Urología
"Doctor, tengo todo me da vueltas y me tumba de inicio súbito.",Neurología
Tengo gingivorragia hace una semana.,Odontología
Paciente refiere que me sangran las encías al cepillarme desde esta mañana.,Odontología
"Doctor, tengo hipertensión arterial descontrolada que no pasa.",Cardiología
Ayúdeme con limitación funcional articular intermitente.,Traumatología
Hay presencia de algia lumbar mecánica desde hace 3 días.,Traumatología
Ayúdeme con casi no estoy orinando nada que no pasa.,Nefrología
Manifiesta cefalea tensional holocraneal de inicio súbito.,Neurología
Me quedé sordo de golpe y siente me duele full el oído derecho.,Otorrinolaringología
Paciente refiere que me siento muy nervioso y con miedo de inicio súbito.,Psiquiatría
Presento se me hinchó la boca y los ojos constante.,Alergología
Presento absceso periodontal desde esta mañana.,Odontología
Tengo síndrome febril agudo que no pasa.,Infectología
Desde ayer tengo micosis cutánea intermitente.,Dermatología
"Me quedé sordo de golpe, también refiere me sale sangre de la nariz.",Otorrinolaringología
Desde ayer tengo artralgias matutinas hace una semana.,Reumatología
"Absceso periodontal, sumado a halitosis.",Odontología
Paciente refiere que tengo ganas de quitarme la vida de inicio súbito.,Psiquiatría
Hay presencia de masa palpable no dolorosa de inicio súbito.,Oncología
Desde ayer tengo se me está cayendo el pelo por parches constante.,Dermatología
"Doctor, tengo síndrome febril agudo de inicio súbito.",Infectología
Indica tener me duele mucho un testículo desde esta mañana.,Urología
Presento alopecia areata constante.,Dermatología
"Estoy con calentura y cuerpo cortado, también refiere tengo una fiebre que no se me va.",Infectología
Ayúdeme con me siento decaído y sin fuerzas constante.,Medicina General
"Doctor, tengo se tomó un veneno desde esta mañana.",Emergencias
"Me duele mucho un testículo, sumado a tengo problemas de potencia sexual.",Urología
"Tengo un dolorcito de cabeza, también refiere me duele la barriga un poco.",Medicina General
Me da todo me da vueltas y me tumba de inicio súbito.,Neurología
Se queja de tengo la presión por las nubes que no pasa.,Cardiología
Manifiesta prurito vulvar desde hace 3 días.,Ginecología
"Doctor, tengo ánimo depresivo persistente constante.",Psiquiatría
"Amanezco tieso, también refiere me duelen todas las uniones.",Reumatología
"Me hinca el corazón, sumado a tengo la presión por las nubes.",Cardiología
Indica tener tengo sarpullido que pica mucho de inicio súbito.,Dermatología
Tengo problemas de potencia sexual con estoy orinando sangre.,Urología
"Doctor, tengo me tiemblan las manos que no pasa.",Endocrinología
"Me palpita feo el corazón, acompañado de se me va el aire al subir gradas.",Cardiología
